OBJECTID,Geo_UID,Grid_Num,longitude,latitude,Baseline,F_2050,F_2080,Temp_Exposure,Temp_Exposure_2080,Shape_Length,Shape_Area,Temp_Mid,Temp_Late,Shape__Area,Shape__Length
100,34.125-118.75,204,-118.75,34.125,92.2847,5.64,8.25,Medium,Medium,0.211529,0.002703449,97.925,100.535,40479891.8710938,25554.4928403656
101,34.125-118.8125,180,-118.8125,34.125,88.826,5.44,8.14,Medium,Medium,0.2008702,0.002526924,94.266,96.966,37836171.9140625,24213.2550784161
102,34.125-118.875,156,-118.875,34.125,85.838,5.06,7.86,Medium,Medium,0.1305772,0.0006736711,90.898,93.698,10085719.5859375,15575.4630959213
103,34.1875-117.6875,613,-117.6875,34.1875,85.712,5.08,7.58,Medium,Low,0.1740019,0.001456962,90.792,93.292,21835316.4453125,22245.1482464921
104,34.1875-117.75,589,-117.75,34.1875,88.5461,5.18,7.72,Medium,Medium,0.25,0.00390625,93.726,96.266,58540183.734375,30742.9606045088
105,34.1875-117.8125,565,-117.8125,34.1875,92.7887,5.14,7.7,Medium,Low,0.25,0.00390625,97.929,100.489,58540822.1054688,30743.1138316997
106,34.1875-117.875,541,-117.875,34.1875,93.956,5.13,7.74,Medium,Medium,0.25,0.00390625,99.086,101.696,58540729.7734375,30743.0872871496
107,34.1875-117.9375,517,-117.9375,34.1875,92.444,5.43,8.13,Medium,Medium,0.25,0.00390625,97.874,100.574,58540637.4023438,30743.0607358572
108,34.1875-118,493,-118,34.1875,91.1741,5.34,7.93,Medium,Medium,0.25,0.00390625,96.514,99.104,58540545.0351563,30743.0341839725
109,34.1875-118.0625,469,-118.0625,34.1875,94.1,5.21,7.72,Medium,Medium,0.25,0.00390625,99.31,101.82,58540446.8242188,30743.0114742811
110,34.1875-118.125,445,-118.125,34.1875,92.786,5.15,7.65,Medium,Low,0.25,0.00390625,97.936,100.436,58540565.4882813,30743.0455411251
111,34.1875-118.1875,421,-118.1875,34.1875,94.0847,5.37,8.04,Medium,Medium,0.25,0.00390625,99.455,102.125,58540682.4492188,30743.0792079388
112,34.1875-118.25,397,-118.25,34.1875,93.74,5.53,8.28,Medium,Medium,0.25,0.00390625,99.27,102.02,58540800.2617188,30743.1130744157
113,34.1875-118.3125,373,-118.3125,34.1875,92.048,5.74,8.63,Medium,High,0.25,0.00390625,97.788,100.678,58540696.7578125,30743.0874375827
114,34.1875-118.375,349,-118.375,34.1875,94.8407,6.01,8.9,High,High,0.25,0.00390625,100.851,103.741,58540537.2734375,30743.04159058
115,34.1875-118.4375,325,-118.4375,34.1875,95.216,5.95,8.84,High,High,0.25,0.00390625,101.166,104.056,58540377.78125,30742.9957440777
116,34.1875-118.5,301,-118.5,34.1875,94.226,5.9,8.72,High,High,0.25,0.00390625,100.126,102.946,58540218.2890625,30742.9498978635
117,34.1875-118.5625,277,-118.5625,34.1875,97.4327,6.02,8.69,High,High,0.25,0.00390625,103.453,106.123,58539928.5585938,30742.8779738428
118,34.1875-118.625,253,-118.625,34.1875,98.366,6.05,8.61,High,High,0.25,0.00390625,104.416,106.976,58539964.3242188,30742.8882984437
119,34.1875-118.6875,229,-118.6875,34.1875,94.91,5.92,8.52,High,Medium,0.2110135,0.002340315,100.83,103.43,35070909.15625,26401.8234737298
120,34.25-117.6875,614,-117.6875,34.25,79.0187,5.02,7.57,Medium,Low,0.1967212,0.002353233,84.039,86.589,35292350.8632813,24799.4271628365
121,34.25-117.75,590,-117.75,34.25,87.404,5.03,7.5,Medium,Low,0.25,0.00390625,92.434,94.904,58582565.6796875,30755.1438346979
122,34.25-117.8125,566,-117.8125,34.25,87.584,5.13,7.7,Medium,Low,0.25,0.00390625,92.714,95.284,58583154.5117188,30755.2829764225
123,34.25-117.875,542,-117.875,34.25,90.248,5.03,7.54,Medium,Low,0.25,0.00390625,95.278,97.788,58583245.3046875,30755.3090736446
124,34.25-117.9375,518,-117.9375,34.25,91.184,5.11,7.63,Medium,Low,0.25,0.00390625,96.294,98.814,58583336.0742188,30755.335168407
125,34.25-118,494,-118,34.25,89.06,5.15,7.67,Medium,Low,0.25,0.00390625,94.21,96.73,58583426.8476563,30755.3612632467
126,34.25-118.0625,470,-118.0625,34.25,88.6847,5.14,7.68,Medium,Low,0.25,0.00390625,93.825,96.365,58583477.46875,30755.3776541003
127,34.25-118.125,446,-118.125,34.25,88.304,5.34,7.99,Medium,Medium,0.25,0.00390625,93.644,96.294,58583562.3984375,30755.4020277771
128,34.25-118.1875,422,-118.1875,34.25,89.276,5.46,8.15,Medium,Medium,0.25,0.00390625,94.736,97.426,58583645.6484375,30755.4260010569
129,34.25-118.25,398,-118.25,34.25,89.8727,5.56,8.34,Medium,Medium,0.25,0.00390625,95.433,98.213,58583729.734375,30755.4501731539
130,34.25-118.3125,374,-118.3125,34.25,90.518,5.74,8.64,Medium,High,0.25,0.00390625,96.258,99.158,58583483.0234375,30755.3922200483
131,34.25-118.375,350,-118.375,34.25,92.5367,6.02,8.91,High,High,0.25,0.00390625,98.557,101.447,58583424.84375,30755.375498427
132,34.25-118.4375,326,-118.4375,34.25,94.406,6.08,9.02,High,High,0.25,0.00390625,100.486,103.426,58583366.6757813,30755.3587772864
133,34.25-118.5,302,-118.5,34.25,94.3727,6.13,9.14,High,High,0.25,0.00390625,100.503,103.513,58583308.5,30755.3420560248
134,34.25-118.5625,278,-118.5625,34.25,94.6454,6.07,8.94,High,High,0.25,0.00390625,100.715,103.585,58583213.1367188,30755.3188772861
135,34.25-118.625,254,-118.625,34.25,94.9487,6.12,8.85,High,High,0.25,0.00390625,101.069,103.799,58583249.3164063,30755.3293203271
136,34.25-118.6875,230,-118.6875,34.25,93.7787,6.08,8.77,High,High,0.1572772,0.0007260455,99.859,102.549,10889498.6875,20385.4632504688
137,34.3125-117.6875,615,-117.6875,34.3125,82.22,5.17,7.64,Medium,Low,0.19849,0.002290034,87.39,89.86,34369332.8710938,25029.6222408996
138,34.3125-117.75,591,-117.75,34.3125,86.4707,4.96,7.4,Medium,Low,0.25,0.00390625,91.431,93.871,58626274.2460938,30767.7043675217
139,34.3125-117.8125,567,-117.8125,34.3125,81.716,4.87,7.3,Low,Low,0.25,0.00390625,86.586,89.016,58626717.7421875,30767.8089079783
140,34.3125-117.875,543,-117.875,34.3125,84.884,4.8,7.18,Low,Low,0.25,0.00390625,89.684,92.064,58626808.6523438,30767.8350425465
141,34.3125-117.9375,519,-117.9375,34.3125,84.9047,4.86,7.31,Low,Low,0.25,0.00390625,89.765,92.215,58626899.5664063,30767.8611759909
142,34.3125-118,495,-118,34.3125,85.064,4.88,7.34,Low,Low,0.25,0.00390625,89.944,92.404,58626990.4765625,30767.8873095117
143,34.3125-118.0625,471,-118.0625,34.3125,87.5867,4.89,7.32,Low,Low,0.25,0.00390625,92.477,94.907,58627066.2773438,30767.9096902329
144,34.3125-118.125,447,-118.125,34.3125,90.1787,4.93,7.37,Medium,Low,0.25,0.00390625,95.109,97.549,58627151.3398438,30767.9340998234
145,34.3125-118.1875,423,-118.1875,34.3125,88.7567,5.39,8.08,Medium,Medium,0.25,0.00390625,94.147,96.837,58627234.7148438,30767.9581090173
146,34.3125-118.25,399,-118.25,34.3125,85.3187,5.6,8.39,Medium,Medium,0.25,0.00390625,90.919,93.709,58627318.921875,30767.9823170782
147,34.3125-118.3125,375,-118.3125,34.3125,88.2887,5.9,8.71,High,High,0.25,0.00390625,94.189,96.999,58627107.671875,30767.9328302098
148,34.3125-118.375,351,-118.375,34.3125,91.904,6.13,8.98,High,High,0.25,0.00390625,98.034,100.884,58627049.421875,30767.9160842046
149,34.3125-118.4375,327,-118.4375,34.3125,90.914,6.11,8.97,High,High,0.25,0.00390625,97.024,99.884,58626991.15625,30767.8993382228
150,34.3125-118.5,303,-118.5,34.3125,91.562,6.24,9.29,High,High,0.25,0.00390625,97.802,100.852,58626932.90625,30767.8825922355
151,34.3125-118.5625,279,-118.5625,34.3125,92.912,6.23,9.19,High,High,0.25,0.00390625,99.142,102.102,58626855.09375,30767.8635949504
152,34.3125-118.625,255,-118.625,34.3125,90.986,6.24,9.13,High,High,0.25,0.00390625,97.226,100.116,58626891.328125,30767.8740538174
153,34.3125-118.6875,231,-118.6875,34.3125,91.4927,6.18,9.04,High,High,0.206705,0.002330401,97.673,100.533,34977524.3242188,25821.046937025
154,34.375-117.6875,616,-117.6875,34.375,90.1787,5.11,7.73,Medium,Medium,0.1882315,0.001969434,95.289,97.909,29579753.6132813,23900.2163648488
155,34.375-117.75,592,-117.75,34.375,87.4607,5.08,7.55,Medium,Low,0.25,0.00390625,92.541,95.011,58670117.8125,30780.303677534
156,34.375-117.8125,568,-117.8125,34.375,89.2427,4.87,7.45,Low,Low,0.25,0.00390625,94.113,96.693,58670415.7695313,30780.3736161633
157,34.375-117.875,544,-117.875,34.375,90.464,4.82,7.38,Low,Low,0.25,0.00390625,95.284,97.844,58670506.8242188,30780.399788721
158,34.375-117.9375,520,-117.9375,34.375,88.412,4.8,7.39,Low,Low,0.25,0.00390625,93.212,95.802,58670597.859375,30780.4259610436
159,34.375-118,496,-118,34.375,89.276,4.84,7.4,Low,Low,0.25,0.00390625,94.116,96.676,58670688.90625,30780.452133449
160,34.375-118.0625,472,-118.0625,34.375,88.5047,4.89,7.49,Low,Low,0.25,0.00390625,93.395,95.995,58670789.9296875,30780.4805042021
161,34.375-118.125,448,-118.125,34.375,90.2507,5.05,7.69,Medium,Low,0.25,0.00390625,95.301,97.941,58670875.1210938,30780.5049498409
162,34.375-118.1875,424,-118.1875,34.375,90.716,5.06,7.74,Medium,Medium,0.25,0.00390625,95.776,98.456,58670958.609375,30780.5289950946
163,34.375-118.25,400,-118.25,34.375,91.4747,5.63,8.4,Medium,Medium,0.25,0.00390625,97.105,99.875,58671042.953125,30780.5532394208
164,34.375-118.3125,376,-118.3125,34.375,91.382,5.8,8.65,High,High,0.25,0.00390625,97.182,100.032,58670867.2304688,30780.5122191449
165,34.375-118.375,352,-118.375,34.375,92.948,5.88,8.66,High,High,0.25,0.00390625,98.828,101.608,58670808.8867188,30780.4954481612
166,34.375-118.4375,328,-118.4375,34.375,96.818,6.22,9.01,High,High,0.25,0.00390625,103.038,105.828,58670750.5351563,30780.4786772283
167,34.375-118.5,304,-118.5,34.375,96.7307,6.46,9.4,High,High,0.25,0.00390625,103.191,106.131,58670692.1953125,30780.4619063719
168,34.375-118.5625,280,-118.5625,34.375,98.168,6.44,9.25,High,High,0.25,0.00390625,104.608,107.418,58670631.9765625,30780.4470905112
169,34.375-118.625,256,-118.625,34.375,99.1967,6.51,9.21,High,High,0.25,0.00390625,105.707,108.407,58670668.2617188,30780.4575652987
170,34.375-118.6875,232,-118.6875,34.375,99.572,6.55,9.27,High,High,0.2424242,0.003807089,106.122,108.842,57181768.7226563,29896.0734816253
171,34.375-118.75,208,-118.75,34.375,97.052,6.42,9.1,High,High,0.1105327,0.0004422311,103.472,106.152,6643537.0625,14221.0695525645
172,34.4375-117.6875,617,-117.6875,34.4375,97.6667,5.26,8.08,Medium,Medium,0.1813876,0.001735066,102.927,105.747,26079423.5898438,23154.1140075906
173,34.4375-117.75,593,-117.75,34.4375,96.89,5.29,8.09,Medium,Medium,0.25,0.00390625,102.18,104.98,58714097.6679688,30792.9421244994
174,34.4375-117.8125,569,-117.8125,34.4375,96.152,5.21,8.02,Medium,Medium,0.25,0.00390625,101.362,104.172,58714249.8476563,30792.977460809
175,34.4375-117.875,545,-117.875,34.4375,96.764,4.97,7.69,Medium,Low,0.25,0.00390625,101.734,104.454,58714341.0195313,30793.003671992
176,34.4375-117.9375,521,-117.9375,34.4375,96.638,4.93,7.63,Medium,Low,0.25,0.00390625,101.568,104.268,58714432.203125,30793.0298833515
177,34.4375-118,497,-118,34.4375,95.792,4.98,7.65,Medium,Low,0.25,0.00390625,100.772,103.442,58714523.3867188,30793.0560948114
178,34.4375-118.0625,473,-118.0625,34.4375,95.738,5.03,7.72,Medium,Medium,0.25,0.00390625,100.768,103.458,58714649.6601563,30793.0904557125
179,34.4375-118.125,449,-118.125,34.4375,95.5787,5.12,7.88,Medium,Medium,0.25,0.00390625,100.699,103.459,58714734.9804688,30793.1149375937
